title,solo,gpt3,instructgpt
Are We Being Bad Citizens If We Don't Keep Up With the News?,0.7876082791040306,0.7673944422641588,0.7881286599626196
How Do You Think Technology Affects Dating?,0.7238800203457503,0.7950984453841204,0.7588712282017437
How Worried Should We Be About Screen Time,0.8675048986818716,0.8494491971997064,0.7196598917879606
Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?,0.7685788508329174,0.7940901347009385,0.7133923014111783
Is It Wrong to Focus on Animal Welfare When Humans Are Suffering?,0.6738418177496083,0.7470842359058155,0.6914209886451208
Is Listening to a Book Just as Good as Reading It?,0.7236715494798615,0.7038738070900143,0.7449216726841636
Should College Athletes Be Paid?,0.6859079873829397,0.7373847694583102,0.6220275830274243
Should Schools Teach Mindfulness?,0.8312596102309225,0.7715354113111359,0.7268419662060704
What Are the Most Important Things Students Should Learn in School?,0.8512392394763008,0.8549797470102887,0.8172666762484634
What Stereotypical Characters Make You Cringe?,0.8895592864881988,0.8593084941982003,0.8204092272744472
