title,solo_D,gpt3_D,instructgpt_D,delta_igpt_minus_solo,delta_gpt3_minus_solo,delta_igpt_minus_gpt3
Are We Being Bad Citizens If We Don't Keep Up With the News?,0.7876082791040306,0.7673944422641588,0.7881286599626196,0.0005203808585889647,-0.02021383683987188,0.020734217698460844
How Do You Think Technology Affects Dating?,0.7238800203457503,0.7950984453841204,0.7588712282017437,0.03499120785599341,0.07121842503837017,-0.03622721718237676
How Worried Should We Be About Screen Time,0.8675048986818716,0.8494491971997064,0.7196598917879606,-0.147845006893911,-0.018055701482165287,-0.12978930541174571
Is It Selfish to Pursue Risky Sports Like Extreme Mountain Climbing?,0.7685788508329174,0.7940901347009385,0.7133923014111783,-0.05518654942173917,0.02551128386802104,-0.08069783328976021
Is It Wrong to Focus on Animal Welfare When Humans Are Suffering?,0.6738418177496083,0.7470842359058155,0.6914209886451208,0.01757917089551253,0.07324241815620725,-0.055663247260694715
Is Listening to a Book Just as Good as Reading It?,0.7236715494798615,0.7038738070900143,0.7449216726841636,0.021250123204302196,-0.019797742389847106,0.0410478655941493
Should College Athletes Be Paid?,0.6859079873829397,0.7373847694583102,0.6220275830274243,-0.06388040435551534,0.05147678207537054,-0.11535718643088588
Should Schools Teach Mindfulness?,0.8312596102309225,0.7715354113111359,0.7268419662060704,-0.1044176440248521,-0.05972419891978664,-0.044693445105065455
What Are the Most Important Things Students Should Learn in School?,0.8512392394763008,0.8549797470102887,0.8172666762484634,-0.03397256322783737,0.0037405075339879135,-0.037713070761825285
What Stereotypical Characters Make You Cringe?,0.8895592864881988,0.8593084941982003,0.8204092272744472,-0.06915005921375161,-0.030250792289998496,-0.03889926692375312
